Location,Business Date,Revenue Center,Menu Group,Menu Item,Spirit Category,Qty Sold,Gross Sales,Item Cost,Net Sales,Void Qty,Void Amount,Comp Qty,Comp Amount,Avg Price
"Commonwealth",2025-10-01,Bar,"Cocktails","Casamigos Margarita","Tequila / Mezcal",44,704,167.2,704,0,0,0,0,16
"Commonwealth",2025-10-01,Bar,"Cocktails","Spicy Margarita","Tequila / Mezcal",32,544,134.4,544,0,0,0,0,17
"Commonwealth",2025-10-01,Bar,"Cocktails","Paloma","Tequila / Mezcal",17,255,59.5,255,0,0,0,0,15
"Commonwealth",2025-10-01,Bar,"Cocktails","Ranch Water","Tequila / Mezcal",19,266,53.2,266,0,0,0,0,14
"Commonwealth",2025-10-01,Bar,"Cocktails","Tito's Soda","Vodka",56,728,123.2,728,0,0,0,0,13
"Commonwealth",2025-10-01,Bar,"Cocktails","Moscow Mule","Vodka",32,448,96,448,0,0,0,0,14
"Commonwealth",2025-10-01,Bar,"Cocktails","Espresso Martini","Vodka",53,901,238.5,901,0,0,0,0,17
"Commonwealth",2025-10-01,Bar,"Cocktails","Vodka Red Bull","Vodka",36,540,136.8,540,0,0,0,0,15
"Commonwealth",2025-10-01,Bar,"Cocktails","Lemon Drop","Vodka",26,390,83.2,390,0,0,0,0,15
"Commonwealth",2025-10-01,Bar,"Cocktails","Cosmopolitan","Vodka",14,210,49,210,0,0,0,0,15
"Commonwealth",2025-10-01,Bar,"Cocktails","Dirty Martini","Vodka",14,224,47.6,208,1,16,0,0,16
"Commonwealth",2025-10-01,Bar,"Cocktails","Old Fashioned","Whiskey / Bourbon",32,512,128,512,0,0,0,0,16
"Commonwealth",2025-10-01,Bar,"Cocktails","Whiskey Sour","Whiskey / Bourbon",22,330,77,330,0,0,0,0,15
"Commonwealth",2025-10-01,Bar,"Cocktails","Manhattan","Whiskey / Bourbon",18,306,86.4,306,0,0,0,0,17
"Commonwealth",2025-10-01,Bar,"Cocktails","Jack & Coke","Whiskey / Bourbon",36,432,86.4,432,0,0,0,0,12
"Commonwealth",2025-10-01,Bar,"Cocktails","Mojito","Rum",16,224,44.8,224,0,0,0,0,14
"Commonwealth",2025-10-01,Bar,"Cocktails","Dark & Stormy","Rum",11,154,33,154,0,0,0,0,14
"Commonwealth",2025-10-01,Bar,"Cocktails","Rum Punch","Rum",14,182,35,182,0,0,0,0,13
"Commonwealth",2025-10-01,Bar,"Cocktails","Gin & Tonic","Gin",20,260,52,260,0,0,0,0,13
"Commonwealth",2025-10-01,Bar,"Cocktails","Negroni","Gin",12,192,54,192,0,0,0,0,16
"Commonwealth",2025-10-01,Bar,"Cocktails","Aperol Spritz","Other Spirits",23,322,87.4,322,0,0,0,0,14
"Commonwealth",2025-10-01,Bar,"Cocktails","Long Island Iced Tea","Other Spirits",18,288,54,288,0,0,0,0,16
"Commonwealth",2025-10-01,Bar,"Shots","Patron Shot","Tequila / Mezcal",30,360,78,360,0,0,0,0,12
"Commonwealth",2025-10-01,Bar,"Shots","Casamigos Shot","Tequila / Mezcal",22,264,61.6,264,0,0,0,0,12
"Commonwealth",2025-10-01,Bar,"Shots","Fireball","Whiskey / Bourbon",24,192,28.8,192,0,0,0,0,8
"Commonwealth",2025-10-01,Bar,"Shots","Jameson Shot","Whiskey / Bourbon",22,220,44,220,0,0,0,0,10
"Commonwealth",2025-10-01,Bar,"Shots","Jagermeister","Other Spirits",18,144,25.2,144,0,0,0,0,8
"Commonwealth",2025-10-01,Bar,"Shots","Vegas Bomb","Other Spirits",18,180,50.4,180,0,0,0,0,10
"Commonwealth",2025-10-01,Bar,"Shots","Lemon Drop Shot","Vodka",12,120,21.6,120,0,0,0,0,10
"Commonwealth",2025-10-01,Bar,"Beer - Draft","Modelo Especial Draft","Beer",45,360,81,360,0,0,0,0,8
